title,tags,genre,actor,language,rating,image_file
Breaking Bad,drug cartel teacher crime family meth,Crime,Bryan Cranston,English,9.5,breaking_bad.jpg
Stranger Things,sci-fi kids mystery upside down horror,Sci-Fi,Millie Bobby Brown,English,8.7,stranger_things.jpg
The Office (US),workplace comedy humor documentary cringe boss,Comedy,Steve Carell,English,9,the_office_us.jpg
Game of Thrones,fantasy war politics dragons medieval betrayal,Fantasy,Emilia Clarke,English,9.3,game_of_thrones.jpg
Sherlock,detective investigation crime mystery modern,Mystery,Benedict Cumberbatch,English,9.1,sherlock.jpg
House of Cards,politics power betrayal white house drama,Drama,Kevin Spacey,English,8.7,house_of_cards.jpg
The Crown,royal family history biography queen england,Biography,Claire Foy,English,8.6,the_crown.jpg
The Witcher,monster hunter magic fantasy medieval war,Action,Henry Cavill,English,8.2,the_witcher.jpg
Peaky Blinders,gangster family crime england 1920s,Crime,Cillian Murphy,English,8.8,peaky_blinders.jpg
The Mandalorian,bounty hunter space star wars adventure,Sci-Fi,Pedro Pascal,English,8.7,the_mandalorian.jpg
Friends,friendship love humor new york city,Comedy,Jennifer Aniston,English,8.9,friends.jpg
Black Mirror,dystopian tech sci-fi thriller anthology,Thriller,Bryce Dallas Howard,English,8.8,black_mirror.jpg
Vikings,historical war family betrayal exploration,Historical,Travis Fimmel,English,8.5,vikings.jpg
The Boys,superheroes dark comedy satire action,Action,Karl Urban,English,8.7,the_boys.jpg
Ozark,money laundering family crime thriller drugs,Thriller,Jason Bateman,English,8.5,ozark.jpg
Westworld,AI robots sci-fi thriller western park,Sci-Fi,Evan Rachel Wood,English,8.6,westworld.jpg
The Umbrella Academy,superheroes family drama time travel,Drama,Elliot Page,English,8,the_umbrella_academy.jpg
Mindhunter,serial killer psychology investigation FBI,Crime,Jonathan Groff,English,8.6,mindhunter.jpg
Narcos,drug cartel history crime colombia,Biography,Wagner Moura,English,8.8,narcos.jpg
Suits,law firm lawyer humor drama romance,Drama,Gabriel Macht,English,8.5,suits.jpg
Money Heist,heist money robbery police mastermind spain,Crime,Alvaro Morte,Spanish,8.3,money_heist.jpg
Lupin,gentleman thief disguise heist france mystery,Mystery,Omar Sy,French,7.6,lupin.jpg
Dark,time travel mystery family germany thriller,Sci-Fi,Louis Hofmann,German,8.8,dark.jpg
Elite,teen drama thriller murder betrayal school spain,Drama,Itzan Escamilla,Spanish,7.5,elite.jpg
Marianne,horror demon small town france terrifying,Horror,Victoire Du Bois,French,7.4,marianne.jpg
Babylon Berlin,crime drama 1920s weimar police germany politics,Historical,Volker Bruch,German,8.4,babylon_berlin.jpg
Call My Agent!,agency actors celebrity comedy humor france,Comedy,Camille Cottin,French,8.3,call_my_agent.jpg
The Rain,virus apocalypse survival scandinavia thriller denmark,Sci-Fi,Alba August,Danish,6.4,the_rain.jpg
Gomorrah,mafia crime family italy violence,Crime,Marco D'Amore,Italian,8.6,gomorrah.jpg
Fauda,israel palestine conflict special ops terrorism,Action,Lior Raz,Hebrew,8.2,fauda.jpg
Squid Game,survival game thriller debt korea social commentary,Thriller,Lee Jung-jae,Korean,8,squid_game.jpg
Borgen,politics drama woman prime minister denmark,Drama,Sidse Babett Knudsen,Danish,8.5,borgen.jpg
Ragnarok,norse mythology teen drama superpowers norway,Fantasy,David Stakston,Norwegian,7.5,ragnarok.jpg
Kingdom,zombie historical korea plague period drama,Horror,Ju Ji-hoon,Korean,8.3,kingdom.jpg
The Bridge,crime investigation murder sweden denmark mystery,Mystery,Sofia Helin,Swedish,8.6,the_bridge.jpg
Midnight Diner: Tokyo Stories,food diner night life japan heartwarming anthology,Drama,Kaoru Kobayashi,Japanese,8.4,midnight_diner_tokyo_stories.jpg
The Protector,fantasy hero ancient relic turkey mystery,Action,Cagatay Ulusoy,Turkish,6.7,the_protector.jpg
Suburra: Blood on Rome,mafia crime politics church italy,Crime,Alessandro Borghi,Italian,7.9,suburra_blood_on_rome.jpg
Barbarians,historical war tribes roman empire germany,Historical,Jeanne Goursaud,German,7.2,barbarians.jpg
Money Heist: Korea – Joint Economic Area,heist crime drama remake korea,Crime,Yoo Ji-tae,Korean,6.2,money_heist_korea.jpg
